Nest_ID,Pro_On,Pro_Off
Mimus_polyglottos_SD245_05,21.319277108433734,9.36046511627907
Mimus_polyglottos_TR_SW_rec_center,18.394736842105264,12.706666666666667
Mimus_polyglottos_TR_by_softball_field,11.63063063063063,7.879765395894428
Mimus_polyglottos_TR_98_05_Control,29.84390243902439,9.32394366197183
Mimus_polyglottos_SD310_05_Control,28.692307692307693,11.502793296089385
Mimus_polyglottos_SD47_05,23.813186813186814,11.010526315789473
Mimus_polyglottos_SD44_05,22.0979381443299,11.0
Mimus_polyglottos_SD10_05,18.341463414634145,8.736220472440944
Mimus_polyglottos_MH3_06,13.891304347826088,4.914893617021277
Mimus_polyglottos_GL132_05_BA_BB,17.75,8.76923076923077
Mimus_polyglottos_GL126_05_AG_RG,26.530973451327434,12.794871794871796
Mimus_polyglottos_GL125_05,12.901785714285714,10.056768558951966
Mimus_polyglottos_GL123_05,14.540322580645162,10.505882352941176
Mimus_polyglottos_GL116_05,15.213559322033898,7.993399339933993
Mimus_polyglottos_GL98_05,18.492753623188406,9.128571428571428
Mimus_polyglottos_GL72_05_Control,23.977064220183486,11.089285714285714
Mimus_polyglottos_GL68_05_Cotrol,28.91566265060241,13.19186046511628
Mimus_polyglottos_GL51_05_Control,21.983922829581992,9.055374592833877
Mimus_polyglottos_GL27_05,23.343589743589742,9.829268292682928
Mimus_polyglottos_GL20_05,22.831932773109244,12.555984555984557
Mimus_polyglottos_GL17_05,19.85185185185185,12.025
Mimus_polyglottos_GL13_05,21.51829268292683,9.178571428571429
Mimus_polyglottos_GL10_05,40.37837837837838,17.575
Mimus_polyglottos_GL8_05,,
Mimus_polyglottos_GL7_05,19.538888888888888,11.709677419354838
Mimus_polyglottos_GL_76_05,20.61111111111111,11.459893048128341
M_polyglottos_TR108_05,17.63274336283186,9.52155172413793
M_polyglottos_GL142_05_AG_RB,12.738683127572017,6.738430583501006
M_polyglottos_GL129_05_BA_RBL,13.166666666666666,10.38
M_Polyglottos_GL120_05,18.50955414012739,9.104938271604938
M_polyglottos_GL119_05,24.389830508474578,11.885245901639344
M_Polyglottos_GL112_05_Control,20.302919708029197,9.157142857142857
M_polyglottos_GL69_06_AY_GG,26.829268292682926,14.744186046511627
M_Polyglottos_GL_133_05_AY-YBL,13.237113402061855,13.47
M_polyglottos_GL_110_05,41.06349206349206,10.686567164179104
M_Polyglottos_GL_101_05,23.26530612244898,10.794117647058824
M_polyglottos_GL_82_05_AR_YY,17.707112970711297,10.210526315789474
M_Polyglottos_GL_81_05_Control,19.91219512195122,8.660377358490566
M_polyglottlos_SD293_05_YA_YB,21.18348623853211,9.424778761061948
M_polyglottlos_GL35_06_Control_BA_RB,28.706806282722514,9.535
Mimus_polyglottos_SD12_06_AB_YY,18.373417721518987,7.457055214723926
Mimus_polyglottos_SD30_06,16.517073170731706,10.265402843601896
M_polyglottlos_JU43_06,23.373056994818654,6.985
M_Polyglottos___Jill_06,18.494505494505493,9.22340425531915
M_Polyglottos___MP1_06,33.31333333333333,10.158227848101266
M_Polyglottos__ALS44_06_Control_BA_BB,36.90909090909091,11.370967741935484
M_Polyglottos__JU30_06,16.390243902439025,7.261904761904762
M_Polyglottos__JU30_06_0,16.047457627118643,7.304635761589404
M_polyglottos_ALS_Police_Bands,14.741935483870968,11.90625
M_Polyglottos_ALS101_06,27.240875912408757,10.802721088435375
M_polyglottos_GL_2_06_YA_RBL,16.39673913043478,10.263157894736842
M_Polyglottos_GL_8_06,28.375586854460092,8.502242152466367
M_Polyglottos_GL_59_06_AR_GY,20.242105263157896,7.453608247422681
M_Polyglottos_GL47_06_AY_BR,17.82608695652174,7.360153256704981
M_Polyglottos_GL53_06_AR_RPK,21.383783783783784,7.706806282722513
M_Polyglottos_GL57_06,21.33884297520661,9.852
M_polyglottos_GL63_06,25.50955414012739,11.781818181818181
M_polyglottos_GL93_06_Control_AR_GY,41.110497237569064,9.75531914893617
M_Polyglottos_GL97_06_AR_YBL,22.124031007751938,13.95910780669145
M_Polyglottos_JU_21_06,17.70098039215686,10.80568720379147
M_polyglottos_JU2_06_Control,27.729411764705883,9.775280898876405
M_polyglottos_JU10_06_Control_AB_RPK,31.35593220338983,10.146739130434783
M_polyglottos_JU35_06_ABL_BW,22.367875647668395,10.733333333333333
M_polyglottos_JU40_06ABL_YW,13.87864077669903,7.398104265402844
M_polyglottos_JU51_06,39.80612244897959,10.555555555555555
M_polyglottos_JU54_06_Control,15.064625850340136,8.390728476821192
M_Polyglottos_MH26_06_Scienlibrarybands,15.782608695652174,6.516949152542373
M_Polyglottos_MH29_06,20.34027777777778,9.271523178807946
M_Polyglottos_SD39_06,17.548872180451127,9.083636363636364
M_polyglottos_SD264_05_Control,15.388157894736842,7.1923076923076925
Mimus_polyglottos__JU1_06,15.794444444444444,10.446236559139784
Mimus_polyglottos__JU12_06,20.619834710743802,6.216
Mimus_polyglottos__JU45_06,70.82051282051282,14.30232558139535
Mimus_polyglottos__JU50_06,26.694444444444443,8.32
Mimus_polyglottos__MH14_06,21.55982905982906,12.156378600823045
Mimus_polyglottos_ALS87_06.,17.56779661016949,10.203252032520325
Mimus_polyglottos_ALS107_06,19.081180811808117,8.544483985765124
Mimus_polyglottos_ALS111_06,22.658227848101266,12.036363636363637
Mimus_polyglottos_GL13_06_AR_YG,30.2972972972973,11.569620253164556
Mimus_polyglottos_GL94_06_AR_YW,37.90909090909091,10.241379310344827
Mimus_polyglottos_JU_11_06,36.95180722891566,10.568181818181818
Mimus_polyglottos_JU25_06_AR_BY,20.662337662337663,10.248447204968944
